person_name,gender
Julia Leigh,Female
Willard Huyck,Male
Ronald Neame,Male
Newt Arnold,Male
Jason Orley,Male
Vicky Wight,Female
Paul W.S. Anderson,Male
Philip Kaufman,Male
Trevor Kirschner,Male
Jay Chandrasekhar,Male
Jeremy Saulnier,Male
Robert Kurtzman,Male
Jessie Nelson,Female
Robert Clouse,Male
Roger Christian,Male
Breck Eisner,Male
Jim Strouse,Male
Sam Fell,Male
Harry Hook,Male
Peter Bogdanovich,Male
Brad Silberling,Male
Dan Mazer,Male
Rob Bowman,Male
Michaël R. Roskam,Male
Paolo Sorrentino,Male
Michael Matthews,Male
James Ivory,Male
Griffin Dunne,Male
Lorene Scafaria,Female
J.J. Perry,Male
Rodrigo García,Male
Mark A.Z. Dippé,Male
Frank Marshall,Male
Simone Stock,Female
Kirk Jones,Male
Carter Smith,Male
Michelangelo Antonioni,Male
Jon Lucas,Male
Lisa Joy,Female
Grant Heslov,Male
Bill Paxton,Male
Clay Kaytis,Male
Fred Wolf,Male
Guy Nattiv,Male
Peter Yates,Male
W.D. Richter,Male
Victoria Mahoney,Female
Jeremy Garelick,Male
William Brent Bell,Male
Nicholas D. Johnson,Male
Sam Weisman,Male
Darren Stein,Male
Ron Maxwell,Male
Michael B. Jordan,Male
Trey Parker,Male
Kyle Edward Ball,Female
Richard Stanley,Male
Laura Terruso,Female
Michael Polish,Male
Chris Noonan,Male
Jeff Tomsic,Male
Jonathan Levine,Male
Julian Farino,Male
Reid Carolin,Male
Lance Hool,Male
Nadia Conners,Female
Harry Elfont,Male
Pascual Sisto,Male
Oliver Hermanus,Male
Nicole Holofcener,Female
Ryan Murphy,Male
Roger Spottiswoode,Male
Stephen Gaghan,Male
Arthur Penn,Male
Julius Avery,Male
Matt Sobel,Male
David Ross,Male
Tyler Shields,Male
Mstyslav Chernov,Male
James Franco,Male
Clyde Geronimi,Male
Ben Young,Male
Carol Reed,Female
Lucio A. Rojas,Male
Peter Chelsom,Male
Mike Gan,Male
John Hough,Male
Jorge R. Gutiérrez,Male
Jim Sheridan,Male
Walter Hill,Male
Chris Sanders,Male
Matt Ruskin,Male
Severin Fiala,Male
Charlie Day,Male
Robert Altman,Male
Jon Erwin,Male
Benedict Wong,Male
Ben Falcone,Male
Stephen J. Anderson,Male
John Fortenberry,Male
Robert Benton,Male
Thomas Carter,Male
Harold Becker,Male
Xavier Gens,Male
Janicza Bravo,Female
Damien Power,Male
Joseph Ruben,Male
Alejandra Márquez Abella,Female
Akiva Schaffer,Male
John Fawcett,Male
Otto Preminger,Male
George Gallo,Male
Nicolas Roeg,Male
John Stockwell,Male
Patrick Tatopoulos,Male
Anton Corbijn,Male
Andrea Arnold,Female
Stephen Merchant,Male
Asif Kapadia,Male
François Simard,Male
Eric Brevig,Male
Ranald MacDougall,Male
Colson Baker,Male
Samuel Bayer,Male
Babak Anvari,Male
Kiyoshi Kurosawa,Male
Greg McLean,Male
Michel Hazanavicius,Male
Mick Jackson,Male
Sarah Polley,Female
Chris Evans,Male
Nicholas Meyer,Male
Luigi Cozzi,Male
Michael Almereyda,Male
Francis Annan,Male
T.J. Gnanavel,Male
Alejandro Agresti,Male
Frank Perry,Male
Franck Khalfoun,Male
Gareth Evans,Male
Christopher Guest,Male
Sean Byrne,Male
Gary Fleder,Male
Ryan Fleck,Male
John Whitesell,Male
Jeremiah S. Chechik,Male
Atom Egoyan,Male
Rosalind Ross,Female
Justin Benson,Male
Tamra Davis,Female
Jon Hurwitz,Male
Maggie Gyllenhaal,Female
Bill Kroyer,Male
Forest Whitaker,Male
Duwayne Dunham,Male
Thomas Vinterberg,Male
Steve Miner,Male
Tony Leondis,Male
Justin Chadwick,Male
Bill Duke,Male
Bob Fosse,Male
David R. Ellis,Male
Justin Kurzel,Male
David Amito,Male
Aline Brosh McKenna,Female
Jason Howden,Male
Ken Kwapis,Male
Kinka Usher,Female
Joe Lynch,Male
Daryl Wein,Male
Edward James Olmos,Male
Mark Rydell,Male
Leslye Headland,Female
Stuart Hazeldine,Male
Emma Holly Jones,Female
Oren Peli,Male
David S. Goyer,Male
Claire Denis,Female
